smiles,log_p,C,O,N,F,Cl,benzene,NH2,unbrch_alkane,Al_COO,Al_OH_noTert,Al_OH,C_O,NH0,ether,NH1
FS(F)(F)(F)(F)c1ccccc1,3.36,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0
CC(=O)c1no[n+]([O-])c1C,0.8,5,3,2,0,0,0,0,0,0,0,0,1,2,0,0
C=CCn1nnc(Oc2ccc(NC(=O)N(C)C)cc2)n1,1.65,13,2,6,0,0,1,0,0,0,0,0,1,5,1,1
COc1ccc(CN(C)N=Nc2ccc(C(=O)O)cc2)cc1,4.43,16,3,3,0,0,2,0,0,0,0,0,1,3,1,0
CCC(C)N=C=S,2.81,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,2.3,23,3,2,0,0,3,0,0,0,0,0,2,2,0,0
Cc1ccccc1NCc1cnc2nc(N)nc(N)c2c1C,1.98,16,0,6,0,0,1,2,0,0,0,0,0,3,0,1
c1c[nH]nn1,-0.29,2,0,3,0,0,0,0,0,0,0,0,0,2,0,1
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,4.64,12,3,1,0,2,2,0,0,0,0,0,0,1,1,0
CC(NC(=O)N(CCCl)N=O)C(=O)O,0.78,6,4,3,0,1,0,0,0,1,0,0,2,2,0,1
CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,4.33,19,5,1,3,1,1,0,2,0,0,0,1,1,4,0
COc1ccc2[nH]c3c4ccc(Cl)cc4ncc3c2c1,4.49,16,1,2,0,1,2,0,0,0,0,0,0,1,1,1
Cc1ncc(NS(=O)(=O)c2ccc(N)cc2)c(C)n1,0.59,12,2,4,0,0,1,1,0,0,0,0,0,2,0,1
c1ccc(-c2ccccc2)cc1,4.01,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cc1ccc(S(=O)(=O)C(=Cc2ccccc2)C(=O)OC(C)C)cc1,3.92,19,4,0,0,0,2,0,0,0,0,0,1,0,1,0
Ic1cccnc1,1.8,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CCOP(=O)(OCC)Oc1ccc(SC)cc1,2.79,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.74,20,4,2,0,0,1,0,0,0,0,1,1,2,1,0
CC1CCC2CC(=O)N(CCCc3ccccc3)C3OC4(C)CCC1C23OO4,4.39,23,4,1,0,0,1,0,0,0,0,0,1,1,1,0
ICCI,2.71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oc1c(Cl)cc(Cl)c2ccccc12,4.23,10,1,0,0,2,2,0,0,0,0,0,0,0,0,0
CC(=O)CCC(C)C,1.88,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0
C=CCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.75,14,4,1,0,0,1,0,0,0,0,0,1,0,3,1
CSc1nnc(C2CCOCC2)c(=O)n1N,1.07,9,2,4,0,0,0,1,0,0,0,0,0,3,1,0
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,1.1,23,5,0,0,0,0,0,0,0,2,3,1,0,1,0
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.23,12,2,2,0,0,0,0,0,0,0,0,2,0,0,2
CC(C)(C)c1ccc(N)cc1,2.7,10,0,1,0,0,1,1,0,0,0,0,0,0,0,0
CCNc1nc(N)nc(O)n1,1.08,5,1,5,0,0,0,1,0,0,0,0,0,3,0,1
O=C(O)C(Cc1ccc(O)cc1)n1cccc1,1.56,13,3,1,0,0,1,0,0,1,0,0,1,1,0,0
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.18,17,6,0,0,1,1,0,0,0,0,0,2,0,4,0
CCc1cccc(CC)c1,4.57,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cc1ccc(-c2cc(=S)ss2)cc1,4.26,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cc1cccc2c1ncc[n+]2[O-],1.2,9,1,2,0,0,1,0,0,0,0,0,0,2,0,0
C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)C=CC(O)CCCC(C)CC=CC3C1O,3.37,29,5,1,0,0,1,0,0,0,2,2,2,0,1,1
CCC(C)OC(C)=O,1.72,6,2,0,0,0,0,0,0,0,0,0,1,0,1,0
COc1ccc2nc(N)[nH]c2c1,0.57,8,1,3,0,0,1,1,0,0,0,0,0,1,1,1
CC(C)OC(C)(C)C,2.14,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CCCCc1ccc(NC(=O)CN(CC(=O)O)CC(=O)O)cc1Br,0.1,16,5,2,0,0,1,0,0,2,0,0,3,1,0,1
Cc1c(O)c(=O)ccn1CCCOC(=O)c1ccc(F)cc1,1.47,16,4,1,1,0,1,0,1,0,0,0,1,1,1,0
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1c(Cl)cccc1Cl,2.56,18,2,2,0,2,2,0,0,0,0,0,2,1,0,1
Cc1cnc2ccc3c(nc(N)n3C)c2n1,1.01,11,0,5,0,0,1,1,0,0,0,0,0,4,0,0
COc1cccc(C(=O)NP(=O)(N2CC2)N2CC2)c1,0.86,12,3,3,0,0,1,0,0,0,0,0,1,2,1,1
CC(=O)c1ccc(C)cc1,2.1,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Clc1ccc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,6.79,12,0,0,0,5,2,0,0,0,0,0,0,0,0,0
CCOP(=S)(OCC)SCSC(C)(C)C,4.48,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,5.8,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0
c1ccc(-c2nnco2)cc1,1.31,8,1,2,0,0,1,0,0,0,0,0,0,2,0,0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1C(C)(C)O,1.49,16,3,4,0,0,1,2,0,0,0,1,0,2,2,0
c1ccc(OCc2cccc(CN3CCCOC3)c2)cc1,2.75,18,2,1,0,0,2,0,0,0,0,0,0,1,2,0
COc1ccc(C(=O)CS(=O)(=O)c2ccc(C)cc2)cc1,2.47,16,4,0,0,0,2,0,0,0,0,0,1,0,1,0
CC(=O)Nc1ccc(N)cc1,0.08,8,1,2,0,0,1,1,0,0,0,0,1,0,0,1
C=COC(=O)C(C)Oc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.54,18,6,1,3,1,2,0,0,0,0,0,1,1,3,0
CC(=O)Oc1c[nH]c2ccccc12,2.01,10,2,1,0,0,1,0,0,0,0,0,1,0,1,1
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,4.44,27,3,1,0,0,0,0,0,0,0,0,2,1,1,0
CCN(C=Nc1ccn(C2CC(F)C(CO)O2)c(=O)n1)CC,0.23,14,3,4,1,0,0,0,0,0,1,1,0,4,1,0
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,7.82,12,1,0,0,0,2,0,0,0,0,0,0,0,1,0
CCN(CC)C(C)C(=O)Nc1c(C)cccc1C,2.73,15,1,2,0,0,1,0,0,0,0,0,1,1,0,1
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,5.78,26,0,2,2,0,3,0,0,0,0,0,0,2,0,0
Cc1cncc(C)c1,1.78,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(OC(=O)C(C)C)c3ccccc3)C2SC1,2.05,20,6,2,0,0,1,0,0,1,0,0,4,1,1,1
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.2,16,3,0,0,0,2,0,0,1,0,0,2,0,0,0
O=[N+]([O-])c1cnc(N=C2NCCO2)s1,0.57,6,3,4,0,0,0,0,0,0,0,0,0,3,1,1
C=C(C)[C@@H]1CC=C(C)C(=O)C1,2.71,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CC(C)(C)c1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.82,20,3,2,0,0,1,0,0,0,0,0,1,2,2,0
CC(=O)Oc1cccc([N+](=O)[O-])c1,1.82,8,4,1,0,0,1,0,0,0,0,0,1,1,1,0
CCNc1nc(Cl)nc(NCC)n1,2.18,7,0,5,0,1,0,0,0,0,0,0,0,3,0,2
Clc1cncc(Cl)n1,1.53,4,0,2,0,2,0,0,0,0,0,0,0,2,0,0
NCCCc1ccccc1,1.83,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0
CC(C)(C)NCC(O)COCCOc1ccccc1,2.35,15,3,1,0,0,1,0,2,0,1,1,0,0,2,1
CCN(CC)C(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,3.05,19,4,1,0,0,2,0,0,0,0,0,2,1,2,0
O=S1CC2=NOS3=C2C(=NO3)C1,-0.3,5,3,2,0,0,0,0,0,0,0,0,0,2,0,0
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,3.11,20,1,2,0,0,2,1,1,0,0,0,1,0,0,1
O=C(O)Cc1ccccc1Nc1ccccc1,3.49,14,2,1,0,0,2,0,0,1,0,0,1,0,0,1
CCC(=O)n1ncc2c(O)ncnc21,0.3,8,2,4,0,0,0,0,0,0,0,0,1,4,0,0
O=C(O)c1cccc(Br)c1,2.87,7,2,0,0,0,1,0,0,0,0,0,1,0,0,0
CCN(C)N=O,0.04,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0
Nc1nc(N)c2c(I)cccc2n1,2.12,8,0,4,0,0,1,2,0,0,0,0,0,2,0,0
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1cccnc1,0.41,13,4,2,0,0,0,0,0,0,0,0,0,2,0,0
COc1ccc(O)c([N+](=O)[O-])c1,2.02,7,4,1,0,0,1,0,0,0,0,0,0,1,1,0
Cc1ccc(CCN)cc1,1.83,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Cc1cc(=O)cc(C)o1,0.1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,5.95,22,3,1,1,2,2,0,0,0,0,0,1,1,2,0
CC(C)(C)C(=O)C(C#N)=NNc1cc(C(F)(F)F)cc(C(F)(F)F)c1,5.44,15,1,3,6,0,1,0,0,0,0,0,1,2,0,1
CC(=O)c1cccc(N)c1,0.83,8,1,1,0,0,1,1,0,0,0,0,1,0,0,0
CC(C)(O)C1CCC2(C)CCCC(O)C2C1,2.68,14,2,0,0,0,0,0,0,0,1,2,0,0,0,0
O=C1C=CC(=O)C(c2ccccc2)=C1,1.95,12,2,0,0,0,1,0,0,0,0,0,2,0,0,0
OC1CC2CCC1C2O,0.4,7,2,0,0,0,0,0,0,0,2,2,0,0,0,0
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1ccccc1,1.01,14,4,1,0,0,1,0,0,0,0,0,0,1,0,0
COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,1.24,32,13,0,0,0,2,0,0,0,2,2,1,0,9,0
NC12CCCCC1c1ccccc1C2,2.94,13,0,1,0,0,1,1,0,0,0,0,0,0,0,0
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,2.66,17,4,1,0,0,1,0,0,0,1,1,1,0,2,1
CC(C)N1C(=O)SC(=Cc2ccc([N+](=O)[O-])o2)C1=O,2.42,11,5,2,0,0,0,0,0,0,0,0,2,2,0,0
CC(=O)OCOC(=O)C(C)c1cccc(C(=O)c2ccccc2)c1,3.4,19,5,0,0,0,2,0,0,0,0,0,3,0,2,0
NS(=O)(=O)c1cccc2ccccc12,1.55,10,2,1,0,0,2,1,0,0,0,0,0,0,0,0
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-0.96,8,3,2,0,0,1,1,0,0,0,0,1,0,0,1
CC(=O)Nc1ncc([N+](=O)[O-])s1,1.3,5,3,3,0,0,0,0,0,0,0,0,1,2,0,1
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,6.55,12,0,0,0,5,2,0,0,0,0,0,0,0,0,0
Cc1ssc(=S)c1Cc1ccccc1,3.78,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCNC,0.15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CC(Cc1ccc(C(C)(C)C)cc1)CN1C[C@H](C)O[C@H](C)C1,4.93,20,1,1,0,0,1,0,0,0,0,0,0,1,1,0
CCCCOC,1.66,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0
O=[N+]([O-])c1cncnc1,-0.05,4,2,3,0,0,0,0,0,0,0,0,0,3,0,0
CCNC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.07,23,4,1,1,0,0,0,0,0,1,2,2,0,0,1
NC(=O)OCCc1c[nH]c2ccccc12,1.69,11,2,2,0,0,1,1,0,0,0,0,1,0,1,1
CN(C)C(=O)COC(=O)c1ccccc1,1.07,11,3,1,0,0,1,0,0,0,0,0,2,1,1,0
c1ccc(CN2CCN(CCn3nc4ccccc4n3)CC2)cc1,3.3,19,0,5,0,0,2,0,0,0,0,0,0,5,0,0
COc1ccc(C(=O)OCCN(C)C)cc1,2.21,12,3,1,0,0,1,0,0,0,0,0,1,1,2,0
CCO,-0.31,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0
O=C(O)CNC(=O)c1ccccc1I,0.97,9,3,1,0,0,1,0,0,1,0,0,2,0,0,1
CCCC(C(N)=O)n1nnc2ccccc21,1.38,11,1,4,0,0,1,1,0,0,0,0,1,3,0,0
NS(=O)(=O)c1ccc(Cl)c(Cl)c1,1.44,6,2,1,0,2,1,1,0,0,0,0,0,0,0,0
Cc1cccc2cccc(C)c12,4.26,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CC(=O)c1cccc(Br)c1,2.47,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Oc1ccccc1C=Nc1ccccc1,3.09,13,1,1,0,0,2,0,0,0,0,0,0,1,0,0
CC1CCC=C2N(C)C=C(C(N)=O)C(=O)N21,0.12,11,2,3,0,0,0,1,0,0,0,0,2,2,0,0
CCCCCCOC(=O)C1=C=CC(=O)NC(=O)N1,1.76,12,4,2,0,0,0,0,3,0,0,0,3,0,1,2
CCC(C)NC(=O)C=C(SC)c1ccccc1,3.03,14,1,1,0,0,1,0,0,0,0,0,1,0,0,1
Nc1ccccc1OC1OC(CO)C(O)C(O)C1O,-1.23,12,6,1,0,0,1,1,0,0,4,4,0,0,2,0
COc1cc(OC)nc(Oc2cccc(C(F)(F)F)c2C(=O)O)n1,2.7,14,5,2,3,0,1,0,0,0,0,0,1,2,3,0
O=C1CN=C(c2ccc(F)cc2)c2cc(Cl)ccc2N1,2.9,15,1,2,1,1,2,0,0,0,0,0,1,1,0,1
Nc1nc(N)nc(-c2cccc(Cl)c2)n1,2.33,9,0,5,0,1,1,2,0,0,0,0,0,3,0,0
Nc1nnnn1-c1ccccc1Cl,0.87,7,0,5,0,1,1,1,0,0,0,0,0,4,0,0
OCCCCCc1ccccn1,1.28,10,1,1,0,0,0,0,2,0,1,1,0,1,0,0
CSc1ccc(COC(=O)N(C)C)cc1,2.86,11,2,1,0,0,1,0,0,0,0,0,1,1,1,0
CC(=O)C=Cc1cccc(C)c1,2.68,11,1,0,0,0,1,0,0,0,0,0,1,0,0,0
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(OC(=O)CC(=O)OC3C4C(=C)C(=O)OC4CC(C)C4C=CC(=O)C43C)C12,1.33,33,10,0,0,0,0,0,0,0,0,0,6,0,4,0
COc1cc(C)ccc1N=C1NCCN1,1.64,11,1,3,0,0,1,0,0,0,0,0,0,1,1,2
COP(=S)(OC)Oc1cc(C)c([N+](=O)[O-])c(C)c1,3.89,10,5,1,0,0,1,0,0,0,0,0,0,1,0,0
CNC(=O)ON=C(C)C(C)(C)[N+](=O)[O-],0.66,7,4,3,0,0,0,0,0,0,0,0,1,2,0,1
NC(=O)C1CCCN1C(=O)C(Cc1cn(C(=O)OCc2ccccc2)cn1)NC(=O)C1CCC(=O)N1,-0.11,24,6,6,0,0,1,1,0,0,0,0,5,3,1,2
N#CCC(=O)O,-0.76,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0
CCOC(=O)C(CC)(CC)C(=O)NC(N)=O,1.45,10,4,2,0,0,0,1,0,0,0,0,3,0,1,1
NS(=O)(=O)c1ccc(SCCO)s1,0.38,6,3,1,0,0,0,1,0,0,1,1,0,0,0,0
CS(=O)(=O)CCC(N)C(=O)O,-3.1,5,4,1,0,0,0,1,0,1,0,0,1,0,0,0
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,4.3,22,5,0,0,0,0,0,0,0,0,0,3,0,2,0
Oc1ccc(Cl)cc1Cc1ccccc1,3.6,13,1,0,0,1,2,0,0,0,0,0,0,0,0,0
Clc1cc(Cl)c(Oc2ccccc2Cl)cc1Cl,5.97,12,1,0,0,4,2,0,0,0,0,0,0,0,1,0
CCC(NC(C)=O)C(=O)OC,-0.17,7,3,1,0,0,0,0,0,0,0,0,2,0,1,1
O=[N+]([O-])c1cc2ccccc2nn1,0.73,8,2,3,0,0,1,0,0,0,0,0,0,3,0,0
N#Cc1c[nH]c(=O)[nH]c1=O,-0.93,5,2,3,0,0,0,0,0,0,0,0,0,1,0,2
O=c1c2ccccc2ncn1O,-0.45,8,2,2,0,0,1,0,0,0,0,0,0,2,0,0
NC(=O)CCN1CCc2cccc(Cl)c2CC1,1.64,13,1,2,0,1,1,1,0,0,0,0,1,1,0,0
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],5.58,14,4,3,3,0,1,0,0,0,0,0,0,3,0,0
CC(C)COC(=O)n1c(-c2cscn2)nc2ccccc21,3.46,15,2,3,0,0,1,0,0,0,0,0,1,3,1,0
Clc1cc2c(cc1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,6.64,12,2,0,0,5,2,0,0,0,0,0,0,0,2,0
O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr,-0.24,6,4,0,0,0,0,0,0,0,4,4,0,0,0,0
NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.96,20,5,3,0,0,2,1,0,1,0,0,3,0,0,2
N#Cc1c(N)sc2ccccc12,2.17,9,0,2,0,0,1,1,0,0,0,0,0,1,0,0
COc1cnc(-c2ccccc2)c(-c2ccccc2)n1,4.21,17,1,2,0,0,2,0,0,0,0,0,0,2,1,0
CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.81,12,3,0,0,3,1,0,1,0,0,0,1,0,2,0
CCN(CC)c1ccc(CO)cc1,2.29,11,1,1,0,0,1,0,0,0,1,1,0,1,0,0
CCNC(=O)NCCCCn1nc(-c2ccccc2)ccc1=O,1.83,17,2,4,0,0,1,0,2,0,0,0,1,2,0,2
N#CCCCCCCCCC#N,1.75,10,0,2,0,0,0,0,7,0,0,0,0,2,0,0
O=NN1CC=CCC1,1.18,5,1,2,0,0,0,0,0,0,0,0,0,2,0,0
S=C1NCCN1,-0.66,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2
O=C(Nc1ccccc1)c1cc(Cl)cc(Cl)c1O,4.01,13,2,1,0,2,2,0,0,0,0,0,1,0,0,1
O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,2.02,15,6,0,0,0,2,0,0,0,0,0,1,0,1,0
CN(C)c1cncnc1,0.46,6,0,3,0,0,0,0,0,0,0,0,0,3,0,0
Clc1cc2oc3c(Cl)c(Cl)ccc3c2c(Cl)c1Cl,6.26,12,1,0,0,5,2,0,0,0,0,0,0,0,0,0
CC1CN1C1=C(F)C(=O)C(N2CC2C)=C(F)C1=O,1.61,12,2,2,2,0,0,0,0,0,0,0,2,2,0,0
CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,2.9,16,3,1,1,1,2,0,0,1,0,0,2,1,0,0
Cc1ccc(C(=O)N2CCCCC2)cc1,2.8,13,1,1,0,0,1,0,0,0,0,0,1,1,0,0
O=[N+]([O-])c1ccc(O)c2ncccc12,1.99,9,3,2,0,0,1,0,0,0,0,0,0,2,0,0
CC(=O)NNC(=O)c1ccccc1N=NN(C)C,1.18,11,2,5,0,0,1,0,0,0,0,0,2,3,0,2
CCOC(=O)Nc1ccccc1,2.3,9,2,1,0,0,1,0,0,0,0,0,1,0,1,1
CC(C)(C)C(=O)OCOc1ccccc1C(=O)NCN1CCOCC1,1.81,18,5,2,0,0,1,0,0,0,0,0,2,1,3,1
N=C(N)NN=Cc1cccs1,0.98,6,0,4,0,0,0,1,0,0,0,0,0,1,0,2
NS(=O)(=O)c1ccc(S(=O)(=O)CCO)cc1,-0.85,8,5,1,0,0,1,1,0,0,1,1,0,0,0,0
Cc1c(F)c(F)c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)c(F)c1F,6.5,17,2,0,7,1,1,0,0,0,0,0,1,0,1,0
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CO/N=C(/c2ccc(Cl)cc2)C2CC2)cc1,6.97,25,3,3,2,1,3,0,0,0,0,0,2,1,0,2
NC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,0.2,14,4,2,0,0,1,1,0,0,0,0,3,1,1,0
CCOC(=O)c1ccc(Cl)nn1,0.12,7,2,2,0,1,0,0,0,0,0,0,1,2,1,0
C=CCOCC(O)Cn1ccnc1[N+](=O)[O-],0.4,9,4,3,0,0,0,0,1,0,1,1,0,3,1,0
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cc(Cl)ccc1Cl,3.36,18,2,2,0,2,2,0,0,0,0,0,2,1,0,1
CC1CN(C)CC(O)(c2ccccc2)O1,1.79,12,2,1,0,0,1,0,0,0,0,1,0,1,1,0
BrCCCBr,2.37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(=O)CCn1nnc2ccccc21,0.27,9,1,4,0,0,1,1,0,0,0,0,1,3,0,0
Nc1n[n+]([O-])c2ccccc2[n+]1[O-],-0.3,7,2,4,0,0,1,1,0,0,0,0,0,3,0,0
CCOC(=O)CC(CO)C(CC)c1cncn1C,0.73,13,3,2,0,0,0,0,0,0,1,1,1,2,1,0
CC(=O)NNC(=O)Nc1cccc([N+](=O)[O-])c1,0.67,9,4,4,0,0,1,0,0,0,0,0,2,1,0,3
BrCC(CBr)(CBr)CBr,3.99,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC1CCCCC1,3.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNC(=O)N(C)C(=O)Nc1cc(OC)ccc1F,2.14,11,3,3,1,0,1,0,0,0,0,0,2,1,1,2
CCNc1nc(NC(C)(C)C)nc(SC)n1,3.74,10,0,5,0,0,0,0,0,0,0,0,0,3,0,2
