smiles,log_p
C1=CN=CN1,-0.08
C1=CC=C2C(=C1)C=CN2,2.14
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,1.41
II,2.49
C1=CC(=C(C=C1CC(C(=O)O)N)O)O,2.39
C1CCNC(C1)C(=O)O,2.31
CCC=CCC=CCC=CCCCCCCCC(=O)O,6.46
C1CSSC1CCCCC(=O)O,3.4
C(C(=O)O)C(=O)O,-0.81
C(C(C(=O)O)O)(C(=O)O)O,0.76
CS,0.78
CC(=O)C=O,1.5
CO,0.77
C1(C(C(C(C(C1O)O)O)O)O)O,-2.08
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,1.6
CC(=O)NC1=CC=CC=C1,1.16
C1=CC=C2C=CC=CC2=C1,3.3
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,2.52
C1=CC(=CN=C1)C(=O)N,-0.37
C1=CC(=CN=C1)C(=O)O,0.147
[N+](=O)(O)[O-],0.21
N#N,0.67
[N-]=[N+]=O,0.36
CN(C)C1=CC=CC=C1,2.31
CCCCCCCCO,3.0
O,1.38
CCCCCCCCC=CCCCCCCCC(=O)O,7.64
C1=C(NC(=O)NC1=O)C(=O)O,-0.83
C(=O)(C(=O)O)O,0.81
O=O,0.65
C1=CC(=CC=C1C(=O)O)N,0.83
C1=CC(=CC=C1[N+](=O)[O-])O,1.91
CCCCCCCCCCCCCCCC(=O)O,7.17
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],3.83
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,5.12
C1=CC=C(C=C1)CC(C(=O)O)N,1.38
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,4.46
C1=CC=C(C=C1)O,1.46
C1=CC=C(C=C1)CC=O,1.78
C1=CC=C(C=C1)CC(=O)O,1.41
C1=CC=C(C=C1)CCN,1.41
C1=CC=C(C(=C1)C(=O)O)C(=O)O,0.73
C1=CC=NC(=C1)C(=O)O,0.72
CC(CO)O,-0.92
CCCO,0.25
CCC(=O)O,0.33
C1=CN=C2C(=N1)C=NC=N2,0.58
C1=C2C(=NC=N1)N=CN2,0.37
C(CCN)CN,-0.7
C1=CN=C(C=N1)C(=O)N,-0.6
C1=CNN=C1,0.26
C1=CC=NC=C1,0.65
CC1=NC=C(C(=C1O)C=O)CO,0.0
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,-1.2
CC1=NC=C(C(=C1O)CO)CO,-0.77
C1=CC(=C(C(=C1)O)O)O,0.97
CC(=O)C(=O)O,-0.5
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,3.44
C1=CC(=C(N=C1)C(=O)O)C(=O)O,0.12
CSC,0.92
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,1.46
CNCC(=O)O,2.78
O[Se](=O)(=O)O,1.6279
C(CCNCCCN)CNCCCN,-0.7
C(CC(=O)O)C(=O)O,-0.59
OS(=O)(=O)O,2.2
C(CS(=O)(=O)O)N,3.36
C1CCSC1,1.61
C1CCS(=O)C1,0.96
C(C(=O)O)S,0.09
CC1=CNC(=O)NC1=O,-0.62
CC1=CC=CC=C1,2.73
CN(C)C,0.16
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,1.05
C1=CC=C2C(=C1)C(=CN2)CCN,1.55
C1=CNC(=O)NC1=O,-1.07
C12=C(NC(=O)N1)NC(=O)NC2=O,-2.17
C(=O)(N)N,-2.11
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,1.98
COC1=C(C=CC(=C1)C=O)O,1.21
C1=NC2=C(N1)C(=O)NC(=O)N2,-0.73
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,3.71
COC1=C(C=CC(=C1)C(CN)O)O,1.05
CC1CCC(C(C1)O)C(C)C,3.4
CC(=C)C1CCC(=CC1)C(=O)O,1.428
C1=CC=C(C=C1)C(C(=O)O)O,0.62
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1.78
CNNC,0.54
C1CCN(C1)CCN,0.08
COC1=CC=CC=C1N2CCNCC2,1.67
C1CN(CCN1)C2=CC(=CC=C2)Cl,2.11
C1CCC(CC1)(C(=O)O)N,1.87
C1C(C(C(C(N1)CO)O)O)O,1.8
CN1CCC(=CC1)C2=CC=CC=C2,2.71
CN1C=CN=C1,0.06
C1=CC=NC(=C1)C2=CC=CC=N2,1.5
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,3.31
C1=C(C=C(C(=C1Br)O)Br)Br,4.13
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,2.81
C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,3.53
C1=CC(=C(C=C1O)O)C(=O)O,1.63
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,1.67
CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,2.23
CC1=CC(=NC=C1)N,0.56
C1C2=CC=CC=C2C3=C1C=C(C=C3)N,3.14
C(CS)O,2.0
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,2.37
CC(CC1=CC2=C(C=C1)OCO2)N,1.64
CC(CC1=CC2=C(C=C1)OCO2)NC,2.15
C1=NNC(=N1)N,0.97
C1=CC(=CC(=C1)N)C(=O)N,0.33
COC1=C(C=CC(=C1)CCN)O,0.08
CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,6.42
CCCN1C2=C(C(=O)NC1=O)NC=N2,0.33
C1=CC(=CC=C1N)OC2C(C(C(C(O2)CO)O)O)O,2.67
C1=CC(=CC=C1C(=N)N)N,0.37
C1=CN=CC=C1N,0.32
C1=CC(=C(C=C1O)O)Cl,1.8
CC1=C(C=CC(=C1)O)Cl,3.1
COC1=C(C=CC(=C1)CC(=O)O)O,0.33
C1=CC(=CC=C1C(=O)NN)O,0.33
CCCCCCCCCC1=CC=C(C=C1)O,5.76
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,2.47
C1=CC2=C(C=C1Cl)NC(=CC2=O)C(=O)O,1.05
C1=CC2=C(C(=C1)O)N=CC=C2,2.02
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,2.71
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,2.8
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1.71
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,4.49
CC(=O)NP(=O)(OC)SC,0.85
CC(=O)NC1=CC=C(C=C1)O,0.91
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,-0.26
CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,3.03
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,2.44
CC(=O)NO,-1.59
CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,3.21
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,4.39
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,3.51
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,3.52
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,2.7
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,1.4
CC(C)(C=NOC(=O)NC)SC,1.13
C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,6.5
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,0.5
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,1.604
CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,2.0
CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,12.2
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,2.12
CC(C)NCC(COC1=CC=CC=C1CC=C)O,3.1
C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,1.17
CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,2.73
C1C2CC3CC1CC(C2)(C3)N,2.44
CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,3.3
C(CN)CNCCSP(=O)(O)O,-1.9
CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,1.3
C1=CC(=CC=C1C(=O)NCC(=O)O)N,-2.2
CN1C2=C(C(=O)N(C1=O)C)NC=N2,-0.02
C1=CSC(=N1)N,0.38
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,7.2
CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,1.06
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,4.92
CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,4.1
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,3.0
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,2.07
CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,3.7
C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,3.4
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,3.8
C1CCNC(C1)C2=CN=CC=C2,0.97
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,1.58
COC1=CC=C(C=C1)C2=CC(=S)SS2,3.82
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,2.88
C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3,3.38
C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C(=O)O,3.85
CC1=CC(=O)N(N1C)C2=CC=CC=C2,0.38
C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,1.4
CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3,4.86
CN1CCC=C(C1)C(=O)OC,0.35
CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O,2.3
CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,2.9
CC(=O)OC1=CC=CC=C1C(=O)O,1.18
COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,5.8
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,0.16
CCNC1=NC(=NC(=N1)Cl)NC(C)C,2.61
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0.1
C(CCCC(=O)O)CCCC(=O)O,1.57
CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,5.72
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,2.75
CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,4.02
C1=CC=C(C=C1)N=NC2=CC=CC=C2,3.82
CCN1CCC2=C(CC1)OC(=N2)N,0.05
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,1.3
CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,3.84
CCC1(C(=O)NC(=O)NC1=O)CC,0.65
CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,1.7
C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,1.89
CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],5.29
CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,2.34
C1=CC=C(C=C1)C(=O)N,0.64
C1(=C(C(=C(C(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O,1.5
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,6.13
CCOC(=O)C1=CC=C(C=C1)N,1.86
CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC,1.7
C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,1.73
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,3.97
C1=CC=C(C=C1)CN=C=S,3.16
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,4.73
C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,0.93
CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,5.2
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,1.93
C1COC1=O,-0.564
CNCCC1=CC=CC=N1,0.1
CNC(=NC)NCC1=CC=CC=C1,0.49
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,2.81
CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,3.0
CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,2.5
C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,4.77
C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,4.25
CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,3.37
CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,2.2
C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,5.91
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,1.7
C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,2.05
CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2,5.14
CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br,4.0
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br,2.83
CC(C)C(C(=O)NC(=O)N)Br,1.14
C(C(CO)([N+](=O)[O-])Br)O,-0.6
CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,2.79
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,3.2
CCCCOC1=CC=C(C=C1)CC(=O)NO,2.08
CCCCN=C(N)N=C(N)N,-1.2
CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,2.6
CC(C)(C)NCC(COC1=CC=CC=C1C#N)O,1.6
CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,3.41
CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O,2.97
C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,2.63
CS(=O)(=O)OCCCCOS(=O)(=O)C,-0.52
CCC(C)C1(C(=O)NC(=O)NC1=O)CC,1.65
CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,1.87
CCCCOC(=O)C1=CC=C(C=C1)N,2.87
CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,6.6
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.07
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,3.79
CC(CC1=C2C3=C(C(=C(C4=C3C(=C5C2=C(C(=O)C=C5OC)C(=C1OC)O)C(=CC4=O)OC)O)OC)CC(C)OC(=O)OC6=CC=C(C=C6)O)OC(=O)C7=CC=CC=C7,7.65
CC1(C2CCC1(C(=O)C2)C)C,2.38
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,6.1
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,4.79
C[N+](C)(C)CCOC(=O)N,3.78
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2.77
CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2.6
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,2.32
CC1=C(C(=O)C(=C(C1=O)N2CC2)C(COC(=O)N)OC)N3CC3,0.15
CCCC(C)(COC(=O)N)COC(=O)NC(C)C,2.1
CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,2.63
C(CCl)NC(=O)N(CCCl)N=O,1.53
CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,3.8
CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,1.1
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,3.8
C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,3.38
CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,0.16
CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,3.53
CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,1.92
CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O,3.8
C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,2.8
CCCCCCCCCCCCCCCCO,6.83
CC1OC2(CN3CCC2CC3)CS1,1.22
C(C(Cl)(Cl)Cl)(O)O,0.99
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,1.7
CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,3.45
CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,2.44
COC(CNC(=O)N)C[Hg]Cl,0.8
CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,1.3
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,4.63
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,-0.24
C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,3.0
CC1=CC(=CC(=C1Cl)C)O,3.27
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,3.38
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,5.41
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,2.27
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,3.51
CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,5.18
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,4.96
C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,0.85
C1=CC2=C(C=C1Cl)NC(=O)O2,1.6
C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,1.63
CC1=CC(=O)N(C(=C1)C2CCCCC2)O,2.3
C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,2.3
CC1=C(N=CN1)CSCCNC(=NC)NC#N,0.4
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,2.68
CC1(C2CCC(O1)(CC2)C)C,2.74
C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,5.77
CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,1.5
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,0.28
[NH2-].[NH2-].Cl[Pt+2]Cl,2.19
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,3.76
COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N,3.58
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,2.16
CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,2.12
CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,7.66
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,3.3
CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,2.57
CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,7.2
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,5.19
C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,2.41
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,1.59
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,3.0
CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C,3.18
